symbol,name,data_start,data_end,bars_count,close,high_52w,low_52w,dist_to_52w_high,ma50_close,volume_ratio_50d,force_ema2,stoch_k,atr13,three_week_tight,base_type,base_depth,pivot_price,breakout_close_confirmed,breakout_high_touched,within_5pct_buy_zone,suggested_buy_stop,initial_stop_7pct,initial_stop_8pct,technical_verdict
SSE:601138,工业富联,2025-04-09,2026-06-03,279,81.05,84.95,17.94,-0.045909358446144855,62.30220000000001,1.7069867454304763,802285232.5325978,80.92909535452321,4.610769230769231,0.1713756940160395,no_valid_base_by_65d_rule,0.41622487979287387,81.11,False,True,False,81.12,75.44160000000001,74.63040000000001,near_pivot_watch
SZSE:001389,广合科技,2025-04-09,2026-06-02,278,181.06,199.74,46.82,-0.09352157805146699,153.72440000000003,0.9326760979561137,-50506413.943031706,40.204865556978234,12.743076923076924,0.07848127035830613,no_valid_base_by_65d_rule,0.5042054671072395,199.74,False,False,False,196.69,182.92170000000002,180.9548,watch_wait
SZSE:002290,禾盛新材,2025-04-09,2026-06-02,278,89.84,108.91,28.66,-0.17509870535304373,78.5746,0.9108209019968808,4803052.376089774,23.444399839421937,7.679230769230769,0.1241103636540898,no_valid_base_by_65d_rule,0.496464971077036,108.91,False,False,False,92.95,86.4435,85.51400000000001,repair_base_needed
SZSE:002463,沪电股份,2025-04-09,2026-06-02,278,131.0,138.87,28.91,-0.05667170735219995,99.3692,1.0924363716742982,288577106.7062647,80.60142962780378,8.482307692307693,0.1360951226900939,no_valid_base_by_65d_rule,0.5018362497299632,138.87,False,False,False,135.0,125.55000000000001,124.2,watch_wait
SZSE:300308,中际旭创,2025-04-09,2026-06-02,278,1191.81,1209.99,88.33,-0.015024917561302198,849.9834,1.0190854916556067,995367862.0284249,91.77784812989007,62.946923076923035,0.12907258707344285,no_valid_base_by_65d_rule,0.5823105976082448,1209.99,False,False,False,1183.62,1100.7666,1088.9304,near_pivot_watch
SZSE:300394,天孚通信,2025-04-09,2026-06-02,278,457.0,492.38,51.02,-0.07185507128640478,351.7774,1.071004384989268,702809799.6623374,77.37851662404091,34.014615384615375,0.18490153172866522,no_valid_base_by_65d_rule,0.43708111621105644,492.38,False,False,False,465.71,433.1103,428.4532,watch_wait
SZSE:300476,胜宏科技,2025-04-09,2026-06-02,278,349.08,402.6,74.87,-0.13293591654247405,318.3758,0.9493982406663689,-133117529.68005732,30.65561026172579,23.90307692307692,0.07035952063914784,no_valid_base_by_65d_rule,0.38104818678589175,402.6,False,False,False,381.69,354.9717,351.1548,repair_base_needed
SZSE:300502,新易盛,2025-04-09,2026-06-02,278,747.0,752.0,77.46,-0.0066489361702127825,553.5122,0.9762078176712898,1555354004.1524196,97.39162188950911,43.73923076923076,0.18772423025435075,no_valid_base_by_65d_rule,0.5275957438112235,733.99,True,True,True,713.74,663.7782000000001,656.6408,near_pivot_watch
SZSE:300548,长芯博创,2025-04-09,2026-06-02,278,234.6,290.0,45.27,-0.19103448275862067,223.822,0.9791529077734891,56403628.99272162,25.937499999999993,17.864615384615384,0.058625255808354454,no_valid_base_by_65d_rule,0.5393103448275862,290.0,False,False,False,243.64999999999998,226.59449999999998,224.158,repair_base_needed
SZSE:300604,长川科技,2025-04-09,2026-06-02,278,207.62,258.68,40.18,-0.19738673264264728,169.5868,0.9021545801123402,-3651492.2408958003,19.84301412872843,18.683846153846154,0.12032878569612747,no_valid_base_by_65d_rule,0.5571748878923767,258.68,False,False,False,218.60999999999999,203.3073,201.1212,repair_base_needed
SZSE:300857,协创数据,2025-04-09,2026-06-02,278,235.53,308.0,50.44,-0.23529220779220783,221.68079999999998,0.8760212685435957,-45900593.158292525,10.751231527093585,16.15769230769231,0.13408088235294116,no_valid_base_by_65d_rule,0.535422077922078,308.0,False,False,False,251.39,233.7927,231.2788,repair_base_needed
SZSE:301345,涛涛车业,2025-04-09,2026-06-02,278,207.47,289.64,61.49,-0.2836970031763568,233.39880000000002,1.0723245195096345,-3270111.762404515,9.488937363664697,9.63461538461538,0.07027587450414714,no_valid_base_by_65d_rule,0.35116006076508766,289.64,False,False,False,214.63,199.60590000000002,197.4596,repair_base_needed
SZSE:002916,深南电路,2025-04-09,2026-06-02,278,398.8,430.38,79.2,-0.07337701566057897,298.8236,1.2021521866298839,84061466.46047695,72.99700726806329,28.879230769230766,0.08609416397267936,no_valid_base_by_65d_rule,0.51268646312561,430.38,False,False,False,425.89,396.0777,391.8188,watch_wait
