symbol,name,report_date,category_type,segment,revenue_ratio,gross_margin,source
SSE:601138,工业富联,2025-12-31,按产品分类,3C电子产品,0.998158,0.069357,stock_zygc_em
SSE:601138,工业富联,2025-12-31,按行业分类,云计算,0.667502,0.0573,stock_zygc_em
SSE:601138,工业富联,2025-12-31,按地区分类,中国大陆及其他,0.559105,,stock_zygc_em
SSE:601138,工业富联,2025-12-31,按地区分类,墨西哥,0.34007,,stock_zygc_em
SSE:601138,工业富联,2025-12-31,按行业分类,通信及移动网络设备,0.329888,0.092836,stock_zygc_em
SSE:601138,工业富联,2025-12-31,按地区分类,越南,0.091988,,stock_zygc_em
SZSE:001389,广合科技,2025-12-31,按行业分类,印制电路板,0.93009,0.298809,stock_zygc_em
SZSE:001389,广合科技,2025-12-31,按产品分类,印制电路板,0.93009,0.298809,stock_zygc_em
SZSE:001389,广合科技,2025-12-31,按地区分类,境外销售,0.666417,0.390313,stock_zygc_em
SZSE:001389,广合科技,2025-12-31,按地区分类,境内销售,0.263673,0.067539,stock_zygc_em
SZSE:001389,广合科技,2025-12-31,按行业分类,其他(补充),0.06991,0.949731,stock_zygc_em
SZSE:001389,广合科技,2025-12-31,按产品分类,其他(补充),0.06991,0.949731,stock_zygc_em
SZSE:002290,禾盛新材,2025-12-31,按行业分类,家电用复合材料,0.968857,0.144678,stock_zygc_em
SZSE:002290,禾盛新材,2025-12-31,按产品分类,家电用复合材料,0.968857,0.144678,stock_zygc_em
SZSE:002290,禾盛新材,2025-12-31,按地区分类,国内业务,0.756155,0.151713,stock_zygc_em
SZSE:002290,禾盛新材,2025-12-31,按地区分类,出口业务,0.226218,0.124068,stock_zygc_em
SZSE:002290,禾盛新材,2025-12-31,按行业分类,其他(补充),0.017627,0.335345,stock_zygc_em
SZSE:002290,禾盛新材,2025-12-31,按产品分类,其他(补充),0.017627,0.335345,stock_zygc_em
SZSE:002463,沪电股份,2025-12-31,按行业分类,产品销售收入(印制电路板业务),0.957672,0.369127,stock_zygc_em
SZSE:002463,沪电股份,2025-12-31,按产品分类,产品销售收入(印制电路板业务),0.957672,0.369127,stock_zygc_em
SZSE:002463,沪电股份,2025-12-31,按地区分类,外销,0.820411,0.383447,stock_zygc_em
SZSE:002463,沪电股份,2025-12-31,按地区分类,内销,0.137261,0.283538,stock_zygc_em
SZSE:002463,沪电股份,2025-12-31,按行业分类,其他(补充),0.042129,0.028764,stock_zygc_em
SZSE:002463,沪电股份,2025-12-31,按产品分类,其他(补充),0.042129,0.028764,stock_zygc_em
SZSE:300308,中际旭创,2025-12-31,按行业分类,光通信收发模块,0.979513,0.426065,stock_zygc_em
SZSE:300308,中际旭创,2025-12-31,按产品分类,光通信收发模块,0.979513,0.426065,stock_zygc_em
SZSE:300308,中际旭创,2025-12-31,按地区分类,境外,0.905768,0.44636,stock_zygc_em
SZSE:300308,中际旭创,2025-12-31,按地区分类,境内,0.094232,0.170405,stock_zygc_em
SZSE:300308,中际旭创,2025-12-31,按行业分类,其他,0.020487,0.147434,stock_zygc_em
