symbol,name,report_date,category_type,segment,revenue_ratio,gross_margin,source
SZSE:300308,中际旭创,2025-12-31,按产品分类,其他,0.020487,0.147434,stock_zygc_em
SZSE:300394,天孚通信,2025-12-31,按行业分类,光互连元器件,0.984293,0.536167,stock_zygc_em
SZSE:300394,天孚通信,2025-12-31,按地区分类,外销,0.743494,0.515915,stock_zygc_em
SZSE:300394,天孚通信,2025-12-31,按产品分类,有源光器件,0.580611,0.466264,stock_zygc_em
SZSE:300394,天孚通信,2025-12-31,按产品分类,无源光器件,0.403682,0.636708,stock_zygc_em
SZSE:300394,天孚通信,2025-12-31,按地区分类,内销,0.256506,0.608357,stock_zygc_em
SZSE:300394,天孚通信,2025-12-31,按行业分类,其他(补充),0.015707,0.75644,stock_zygc_em
SZSE:300476,胜宏科技,2025-12-31,按行业分类,PCB制造,0.937352,0.319149,stock_zygc_em
SZSE:300476,胜宏科技,2025-12-31,按产品分类,PCB制造,0.937352,0.308941,stock_zygc_em
SZSE:300476,胜宏科技,2025-12-31,按地区分类,直接出口,0.768256,,stock_zygc_em
SZSE:300476,胜宏科技,2025-12-31,按地区分类,内销,0.231744,,stock_zygc_em
SZSE:300476,胜宏科技,2025-12-31,按行业分类,其他(补充),0.062648,0.847276,stock_zygc_em
SZSE:300476,胜宏科技,2025-12-31,按产品分类,其他(补充),0.062648,0.847276,stock_zygc_em
SZSE:300502,新易盛,2025-12-31,按行业分类,光通信行业,1.0,0.478056,stock_zygc_em
SZSE:300502,新易盛,2025-12-31,按产品分类,光互联产品,0.997154,0.478119,stock_zygc_em
SZSE:300502,新易盛,2025-12-31,按地区分类,境外,0.961583,0.483567,stock_zygc_em
SZSE:300502,新易盛,2025-12-31,按地区分类,境内,0.038417,0.340111,stock_zygc_em
SZSE:300502,新易盛,2025-12-31,按产品分类,其他,0.002846,0.456173,stock_zygc_em
SZSE:300548,长芯博创,2025-12-31,按行业分类,通信及相关设备制造业,1.0,0.406125,stock_zygc_em
SZSE:300548,长芯博创,2025-12-31,按产品分类,数据通信、消费及工业互联市场,0.804998,0.46583,stock_zygc_em
SZSE:300548,长芯博创,2025-12-31,按地区分类,境外,0.594377,0.572783,stock_zygc_em
SZSE:300548,长芯博创,2025-12-31,按地区分类,境内,0.405623,0.161915,stock_zygc_em
SZSE:300548,长芯博创,2025-12-31,按产品分类,电信市场,0.18984,0.155637,stock_zygc_em
SZSE:300548,长芯博创,2025-12-31,按产品分类,其他(补充),0.005162,0.307486,stock_zygc_em
SZSE:300604,长川科技,2025-12-31,按行业分类,集成电路电子工业专用设备,1.0,0.550546,stock_zygc_em
SZSE:300604,长川科技,2025-12-31,按地区分类,中国境内,0.845494,0.552912,stock_zygc_em
SZSE:300604,长川科技,2025-12-31,按产品分类,测试机,0.605301,0.622511,stock_zygc_em
SZSE:300604,长川科技,2025-12-31,按产品分类,分选机,0.296411,0.413403,stock_zygc_em
SZSE:300604,长川科技,2025-12-31,按地区分类,中国境外,0.154506,0.5376,stock_zygc_em
SZSE:300604,长川科技,2025-12-31,按产品分类,其他,0.098288,0.520948,stock_zygc_em
SZSE:300857,协创数据,2025-12-31,按行业分类,计算机、通信和其他电子设备制造业,1.0,0.192379,stock_zygc_em
SZSE:300857,协创数据,2025-12-31,按地区分类,境外,0.506003,0.136213,stock_zygc_em
SZSE:300857,协创数据,2025-12-31,按地区分类,境内,0.493997,0.249911,stock_zygc_em
SZSE:300857,协创数据,2025-12-31,按产品分类,数据存储设备,0.367184,0.148922,stock_zygc_em
SZSE:300857,协创数据,2025-12-31,按产品分类,智能算力产品及服务,0.225652,0.255285,stock_zygc_em
SZSE:300857,协创数据,2025-12-31,按产品分类,服务器及周边再制造,0.210445,0.150197,stock_zygc_em
SZSE:301345,涛涛车业,2025-12-31,按行业分类,制造业,1.0,0.414774,stock_zygc_em
SZSE:301345,涛涛车业,2025-12-31,按地区分类,美洲,0.903342,0.434593,stock_zygc_em
SZSE:301345,涛涛车业,2025-12-31,按产品分类,电动出行产品,0.707169,0.461358,stock_zygc_em
SZSE:301345,涛涛车业,2025-12-31,按产品分类,动力运动产品,0.239153,0.318893,stock_zygc_em
SZSE:301345,涛涛车业,2025-12-31,按地区分类,亚洲,0.056791,0.227035,stock_zygc_em
SZSE:301345,涛涛车业,2025-12-31,按产品分类,其他,0.053678,0.228256,stock_zygc_em
SZSE:002916,深南电路,2025-12-31,按行业分类,电子电路,0.944216,0.297252,stock_zygc_em
SZSE:002916,深南电路,2025-12-31,按产品分类,印制电路板,0.607235,0.355297,stock_zygc_em
SZSE:002916,深南电路,2025-12-31,按地区分类,境内销售,0.584221,0.294904,stock_zygc_em
SZSE:002916,深南电路,2025-12-31,按地区分类,境外销售,0.359995,0.301062,stock_zygc_em
SZSE:002916,深南电路,2025-12-31,按产品分类,封装基板,0.175405,0.225848,stock_zygc_em
SZSE:002916,深南电路,2025-12-31,按产品分类,电子装联,0.130036,0.149963,stock_zygc_em
