rank,symbol,name,score,eps_growth_yoy,roe,positive_quarters,relative_strength,technical_verdict,dist_to_52w_high,volume_ratio_50d,pivot_price,fund_count_latest,fund_count_change,research_report_count_12m,key_event_counts,cluster
1,SSE:601138,工业富联,10.0,0.521,0.221,8,4.0879,near_pivot_watch,-0.045909358446144855,1.7069867454304763,81.11,603,211.0,29,股东/回购/激励:37；业绩/分红:12；调研/业绩交流:9；产能/项目/募投:2；风险/问询/更正:1,AI服务器/算力硬件链
2,SZSE:001389,广合科技,10.0,0.446,0.288,8,3.3989,watch_wait,-0.09352157805146699,0.9326760979561137,199.74,55,-414.0,4,股东/回购/激励:43；产能/项目/募投:11；业绩/分红:11；调研/业绩交流:7,AI服务器PCB/电子电路链
3,SZSE:002290,禾盛新材,10.0,0.692,0.184,8,3.1786,repair_base_needed,-0.17509870535304373,0.9108209019968808,108.91,26,-111.0,7,股东/回购/激励:32；业绩/分红:11；风险/问询/更正:4；产能/项目/募投:4；调研/业绩交流:2；订单/客户/合同:1,家电材料/周期制造
4,SZSE:002463,沪电股份,10.0,0.47,0.284,8,4.2632,watch_wait,-0.05667170735219995,1.0924363716742982,138.87,540,82.0,26,调研/业绩交流:36；股东/回购/激励:21；业绩/分红:17；风险/问询/更正:4；产能/项目/募投:3；产品/研发周期:3,AI服务器PCB/电子电路链
5,SZSE:300308,中际旭创,10.0,1.076,0.442,8,15.6594,near_pivot_watch,-0.015024917561302198,1.0190854916556067,1209.99,994,,42,股东/回购/激励:58；业绩/分红:18；调研/业绩交流:13；产能/项目/募投:2,AI光通信/光模块链
6,SZSE:300394,天孚通信,10.0,0.502,0.425,8,9.2835,watch_wait,-0.07185507128640478,1.071004384989268,492.38,729,728.0,18,股东/回购/激励:41；业绩/分红:12；调研/业绩交流:10；产能/项目/募投:2；产品/研发周期:1,AI光通信/光模块链
7,SZSE:300476,胜宏科技,10.0,2.739,0.338,8,4.4947,repair_base_needed,-0.13293591654247405,0.9493982406663689,402.6,373,372.0,19,股东/回购/激励:33；调研/业绩交流:21；业绩/分红:13；风险/问询/更正:5；产能/项目/募投:4,AI服务器PCB/电子电路链
8,SZSE:300502,新易盛,10.0,2.837,0.554,8,13.9132,near_pivot_watch,-0.0066489361702127825,0.9762078176712898,733.99,993,,16,股东/回购/激励:31；业绩/分红:15；调研/业绩交流:9；订单/客户/合同:1,AI光通信/光模块链
9,SZSE:300548,长芯博创,10.0,3.64,0.18,8,6.7095,repair_base_needed,-0.19103448275862067,0.9791529077734891,290.0,214,-570.0,1,股东/回购/激励:65；业绩/分红:9；调研/业绩交流:3；风险/问询/更正:2；产能/项目/募投:2,AI光通信/光模块链
10,SZSE:300604,长川科技,10.0,1.407,0.228,8,4.2522,repair_base_needed,-0.19738673264264728,0.9021545801123402,258.68,399,-200.0,3,股东/回购/激励:46；业绩/分红:14；风险/问询/更正:8；调研/业绩交流:3；产能/项目/募投:1,半导体设备链
11,SZSE:300857,协创数据,10.0,0.673,0.306,8,4.0619,repair_base_needed,-0.23529220779220783,0.8760212685435957,308.0,192,-565.0,8,股东/回购/激励:74；业绩/分红:15；调研/业绩交流:10；产能/项目/募投:6；风险/问询/更正:2；产品/研发周期:1；订单/客户/合同:1,AI服务器/算力硬件链
12,SZSE:301345,涛涛车业,10.0,0.894,0.24,8,2.9601,repair_base_needed,-0.2836970031763568,1.0723245195096345,289.64,73,-686.0,18,股东/回购/激励:29；业绩/分红:13；调研/业绩交流:9；产能/项目/募投:5,出口消费/动力运动
13,SZSE:002916,深南电路,9.0,0.342,0.206,8,4.036,watch_wait,-0.07337701566057897,1.2021521866298839,430.38,199,-600.0,12,调研/业绩交流:33；股东/回购/激励:30；业绩/分红:8；风险/问询/更正:2；产能/项目/募投:1,AI服务器PCB/电子电路链
